tract,cems_percentile,utems_percentile,mems_percentile,cancer_twe_percentile,chronic_twe_percentile,acute_twe_percentile
06013345203,87.6196990424,0,87.1409028728,63.4746922025,77.4281805746,79.3433652531
06013345204,39.6032831737,0,39.3980848153,27.4281805746,42.2024623803,50
06013345205,85.7729138167,0,85.3625170999,73.9398084815,81.805745554,85.0205198358
06013345206,15.4582763338,0,15.4582763338,55.3351573187,24.0766073871,21.340629275
06013346102,25.1025991792,0,24.9658002736,21.6142270862,24.487004104,32.4213406293
06013346203,38.5772913817,0,38.3720930233,26.8809849521,41.5868673051,49.5212038304
06013346204,10.3967168263,0,10.3967168263,13.9534883721,9.78112175103,17.5102599179
06013346205,6.63474692202,0,6.63474692202,4.44596443228,2.59917920657,14.0902872777
06013346206,11.5595075239,0,11.5595075239,5.40355677155,5.26675786594,17.3734610123
06013347000,16.8946648427,0,16.8946648427,56.5663474692,91.7236662107,89.7400820793
06013348000,37.5512995896,0,37.414500684,42.6128590971,41.244870041,47.1272229822
06013349000,81.3953488372,0,80.8481532148,56.7715458276,72.9138166895,74.5554035568
06013350000,40.2872777018,0,40.0820793434,29.1381668947,44.5964432285,51.6415868673
06013351103,13.3378932969,0,13.3378932969,14.6374829001,15.9370725034,24.0082079343
06013351105,18.6730506156,0,18.6730506156,68.8098495212,33.9945280438,0
06013352101,53.6935704514,0,53.4199726402,86.7989056088,86.5937072503,83.8577291382
06013352102,15.3214774282,0,15.3214774282,27.7701778386,11.4911080711,16.5526675787
06013352201,53.5567715458,0,53.2831737346,39.5348837209,59.0287277702,66.5526675787
06013352202,43.2968536252,0,43.0916552668,74.9658002736,69.5622435021,59.9179206566
06013353001,5.19835841313,0,5.19835841313,29.0013679891,11.2859097127,12.7906976744
06013353002,39.8084815321,0,39.6032831737,28.317373461,43.7756497948,51.0259917921
06013354001,16.9630642955,0,16.9630642955,62.9958960328,42.7496580027,29.8221614227
06013354002,53.2831737346,0,53.0095759234,67.0998632011,63.8166894665,64.8426812585
06013355107,97.6744186047,0,97.4008207934,84.4733242134,85.0205198358,90.902872777
06013355109,38.6456908345,0,38.4404924761,66.1422708618,50.2735978112,45.6224350205
06013355110,28.1121751026,0,27.975376197,17.2366621067,27.5649794802,35.6361149111
06013355111,4.85636114911,0,4.85636114911,25.0341997264,10.123119015,0
06013355112,87.414500684,0,87.0041039672,64.6374829001,66.6894664843,62.0383036936
06013355113,16.6210670315,0,16.6210670315,56.1559507524,20.1094391245,0
06013355115,6.97674418605,0,6.97674418605,3.55677154583,1.5731874145,12.0383036936
06013355120,33.5157318741,0,33.3789329685,44.4596443228,37.4829001368,42.9548563611
06013355121,50.341997264,0,50.0683994528,37.1409028728,55.3351573187,63.269493844
06013355122,14.0902872777,0,14.0902872777,66.3474692202,31.121751026,0
06013355126,7.8659370725,0,7.8659370725,4.51436388509,3.35157318741,15.047879617
06013355201,96.3064295486,0,95.9644322845,97.1272229822,98.4952120383,99.2476060192
06013355202,22.2982216142,0,22.2298221614,12.8590971272,21.340629275,28.5225718194
06013355302,0.889192886457,0,0.889192886457,3.48837209302,1.5047879617,11.2175102599
06013355306,88.4404924761,0,87.9616963064,83.9945280438,63.4062927497,16.073871409
06013355307,8.34473324213,0,8.34473324213,21.2038303694,8.75512995896,0
06013355308,35.0889192886,0,34.952120383,42.6812585499,39.3980848153,45.4172366621
06013355309,88.3036935705,0,87.8248974008,50.4787961696,26.8809849521,22.9822161423
06013355310,30.3009575923,0,30.0957592339,19.4938440492,31.805745554,39.6032831737
06013356001,90.4924760602,0,90.0820793434,39.3296853625,42.6128590971,56.976744186
06013356002,13.6798905609,0,13.6798905609,8.96032831737,4.24076607387,11.0123119015
06013357000,97.4692202462,0,97.1272229822,82.1477428181,96.3064295486,96.169630643
06013358000,99.0424076607,0,98.7688098495,99.7948016416,99.7948016416,99.7264021888
06013359102,78.2489740082,0,77.7017783858,63.6798905609,58.0711354309,61.3543091655
06013359103,74.6238030096,0,74.0766073871,79.2749658003,83.4473324213,86.8673050616
06013359104,53.9671682627,0,53.6935704514,39.876880985,59.781121751,67.1682626539
06013359105,22.7086183311,0,22.6402188782,15.3214774282,21.8194254446,28.5225718194
06013359202,33.3105335157,0,33.1737346101,58.4131326949,42.3392612859,41.9288645691
06013359203,56.0875512996,0,55.7455540356,47.6744186047,62.7906976744,68.878248974
06013359204,14.9110807114,0,14.9110807114,28.7277701778,12.3803009576,17.2366621067
06013360101,69.8358413133,0,69.4254445964,79.5485636115,82.4213406293,82.9685362517
06013360102,55.2667578659,99.9316005472,99.9316005472,87.6196990424,73.1190150479,23.5978112175
06013360200,39.3296853625,0,39.1244870041,27.8385772914,42.9548563611,50.2051983584
06013361000,40.218878249,0,40.0136798906,9.64432284542,16.4842681259,23.6662106703
06013363000,65.8686730506,0,65.4582763338,58.9603283174,73.3926128591,77.975376197
06013364002,71.6142270862,0,71.1354309166,14.4322845417,32.5581395349,42.1340629275
06013365002,99.1108071135,0,98.8372093023,99.316005472,99.1792065663,99.0424076607
06013365003,72.5718194254,0,72.0930232558,50.2051983584,84.3365253078,82.9001367989
06013366002,51.7099863201,0,51.4363885089,13.4062927497,40.902872777,39.9452804378
06013367100,8.20793433653,0,8.20793433653,5.81395348837,4.92476060192,16.0054719562
06013367200,68.0574555404,0,67.6470588235,66.2106703146,75.9917920657,79.0013679891
06013368001,54.7195622435,0,54.4459644323,11.1491108071,28.1805745554,38.9876880985
06013368002,84.4049247606,0,83.9945280438,4.99316005472,45.2804377565,59.3023255814
06013369001,52.3939808482,0,52.1203830369,61.0807113543,61.901504788,64.9794801642
06013369002,22.2298221614,0,22.1614227086,7.7975376197,15.047879617,22.5718194254
06013370000,0.205198358413,0,0.205198358413,5.19835841313,2.32558139535,10.123119015
06013371000,78.3857729138,0,77.8385772914,62.4487004104,79.8905608755,83.5157318741
06013372000,50.7523939808,0,50.4787961696,10.8071135431,25.170998632,35.2257181943
06013373000,80.2325581395,0,79.6853625171,9.23392612859,26.4705882353,49.316005472
06013374000,65.047879617,0,64.6374829001,38.5772913817,23.3242134063,28.317373461
06013375000,76.6073871409,0,76.0601915185,61.2859097127,67.1682626539,72.2982216142
06013376000,28.317373461,0,28.1805745554,17.5786593707,32.7633378933,44.7332421341
06013377000,57.3871409029,0,57.0451436389,86.2517099863,76.6757865937,65.8002735978
06013378000,99.4528043776,0,99.2476060192,99.9316005472,99.8632010944,99.8632010944
06013379000,77.7701778386,0,77.2229822161,47.537619699,46.2380300958,50.7523939808
06013380001,89.1244870041,0,88.6456908345,87.5512995896,88.0300957592,89.4664842681
06013380002,91.8604651163,0,91.4500683995,87.9616963064,82.0793433653,82.5581395349
06013381000,64.2270861833,0,63.8166894665,65.8002735978,67.2366621067,69.220246238
06013382000,74.0766073871,0,73.5294117647,25.9917920657,40.4924760602,48.7004103967
06013383000,60.5335157319,0,60.123119015,45.5540355677,50,56.3611491108
06013384000,22.2982216142,0,22.2298221614,12.8590971272,21.340629275,28.5225718194
06013385100,7.31874145007,0,7.31874145007,35.0889192886,12.8590971272,0
06013386000,73.9398084815,0,73.3926128591,74.1450068399,64.8426812585,59.6443228454
06013387000,29.7537619699,0,29.5485636115,24.7606019152,30.9165526676,38.2352941176
06013389100,16.4842681259,0,16.4842681259,7.8659370725,14.1586867305,21.8194254446
06013389200,24.3502051984,0,24.2134062927,14.7742818057,23.7346101231,31.5321477428
06013390200,18.2626538988,0,18.2626538988,58.0027359781,91.6552667579,89.6716826265
06013391000,33.926128591,0,33.7893296854,69.4938440492,46.9220246238,37.0041039672
06013392000,2.66757865937,0,2.66757865937,7.04514363885,2.18878248974,0
06013392201,94.6648426813,0,94.2544459644,83.926128591,94.7332421341,95.1436388509
